project_ena	sample_ena	sample_original	sag_id	sample_description	collection_date
PRJEB108838	ERS29379432	P2_59	ICM0050_SAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379433	P1_65	ICM0051_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379434	P2_04	ICM0051_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379435	GC1003827_F05_1	ICM0052_COSAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379436	GC1003827_F05_2	ICM0052_COSAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379437	GC1003837_C03	ICM0052_COSAG.1_MAST-7	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379438	P1_84	ICM0052_COSAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379439	P2_69	ICM0052_COSAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379440	P2_45	ICM0053_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379441	P4_44	ICM0053_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379442	P4_57	ICM0053_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379443	GC1003827_G04_1	ICM0054_COSAG.1_Labyrinthulomycetes	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379444	GC1003827_G04_2	ICM0054_COSAG.1_Labyrinthulomycetes	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379445	P1_92	ICM0054_COSAG.1_Labyrinthulomycetes	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379446	P2_01	ICM0055_SAG.1_Picozoa	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379447	P2_58	ICM0056_SAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379448	P2_78	ICM0057_COSAG.1_Unknown	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379449	P2_89	ICM0057_COSAG.1_Unknown	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379450	P2_79	ICM0058_SAG.1_Cercozoa	Sample used for final dataset	2020-09-15
