annot	count	avg_count
TsaD	317	2.232394366197183
Histidinol_dh	140	0.9859154929577465
Histone_HNS	1	0.007042253521126761
IMS	504	3.5492957746478875
PEPCK_GTP	179	1.2605633802816902
PMP22_Claudin	33	0.2323943661971831
Ribonuclease_P	11	0.07746478873239436
Ribosomal_L15e	221	1.556338028169014
Ribosomal_L27A	406	2.859154929577465
Ribosomal_L21p	161	1.1338028169014085
Ribosomal_L28	131	0.9225352112676056
Ribosomal_L29	258	1.8169014084507042
Ribosomal_L39	103	0.7253521126760564
Ribosomal_S17e	204	1.4366197183098592
Ribul_P_3_epim	241	1.6971830985915493
SNAP-25	7	0.04929577464788732
Stathmin	13	0.09154929577464789
T4_deiodinase	109	0.7676056338028169
TCTP	143	1.0070422535211268
Cys_rich_FGFR	307	2.1619718309859155
Glyco_hydro_7	108	0.7605633802816901
Ala_racemase_C	42	0.29577464788732394
AP2	381	2.683098591549296
Ring_hydroxyl_A	61	0.4295774647887324
PseudoU_synth_2	1170	8.23943661971831
Hist_deacetyl	1227	8.640845070422536
Glyco_transf_10	447	3.147887323943662
Runt	16	0.11267605633802817
PTR2	374	2.6338028169014085
PWWP	472	3.323943661971831
SET	3889	27.387323943661972
Isochorismatase	639	4.5
ASC	54	0.38028169014084506
Xan_ur_permease	229	1.6126760563380282
Ribosomal_L18p	57	0.4014084507042254
GT-B_Sucrose_synth	9	0.06338028169014084
P2X_receptor	232	1.6338028169014085
XPG_I	654	4.605633802816901
Transglut_N	8	0.056338028169014086
P53	16	0.11267605633802817
Acetate_kinase	65	0.45774647887323944
Transposase_mut	6	0.04225352112676056
ACR_tran	39	0.2746478873239437
PRD	1	0.007042253521126761
DNA_photolyase	519	3.6549295774647885
Innexin	5	0.035211267605633804
NLPC_P60	41	0.2887323943661972
CIMR	254	1.7887323943661972
Nebulin	2	0.014084507042253521
Nitroreductase	272	1.9154929577464788
Zn_dep_PLPC	54	0.38028169014084506
Peptidase_M17	343	2.415492957746479
Sulfatase	1774	12.492957746478874
DMRL_synthase	131	0.9225352112676056
Ribosomal_S16	120	0.8450704225352113
ACBP	593	4.176056338028169
Cullin	1108	7.802816901408451
EF_TS	196	1.380281690140845
FAD_binding_2	629	4.429577464788732
Methyltransf_2	183	1.2887323943661972
EamA	1711	12.049295774647888
Multi_Drug_Res	33	0.2323943661971831
ThiF	2027	14.274647887323944
Ribosomal_S4e	238	1.676056338028169
Orbi_VP5	2	0.014084507042253521
TatC	19	0.13380281690140844
Glyoxalase	809	5.697183098591549
Transpeptidase	15	0.1056338028169014
T-box	23	0.1619718309859155
dTDP_sugar_isom	27	0.19014084507042253
Ammonium_transp	1213	8.54225352112676
RNA_helicase	28	0.19718309859154928
Transgly	11	0.07746478873239436
Trypan_glycop	14	0.09859154929577464
Sulfate_transp	780	5.492957746478873
MATH	26	0.18309859154929578
UPF0004	264	1.8591549295774648
ILVD_EDD_N	158	1.1126760563380282
TAL_FSA	260	1.8309859154929577
MS_channel_2nd	358	2.5211267605633805
GTP_cyclohydro2	223	1.5704225352112675
DHBP_synthase	112	0.7887323943661971
Transglut_C	6	0.04225352112676056
Adap_comp_sub	894	6.295774647887324
RNase_T	904	6.366197183098592
DPPIV_N	195	1.3732394366197183
NB-ARC	491	3.4577464788732395
LTD	159	1.119718309859155
Glyco_hydro_3	768	5.408450704225352
Ribosomal_L44	215	1.5140845070422535
BMC	1	0.007042253521126761
Na_sulph_symp	188	1.323943661971831
RNA_pol	159	1.119718309859155
FAD_binding_5	230	1.619718309859155
Mononeg_RNA_pol	2	0.014084507042253521
Glycos_transf_4	159	1.119718309859155
S_locus_glycop	1	0.007042253521126761
HCO3_cotransp	430	3.028169014084507
NAP	418	2.943661971830986
Synaptobrevin	1264	8.901408450704226
GMP_synt_C	134	0.9436619718309859
Phage_lysozyme	51	0.3591549295774648
LAGLIDADG_1	64	0.4507042253521127
A_deaminase	452	3.183098591549296
Cohesin	48	0.3380281690140845
Elicitin	126	0.8873239436619719
TIMP	14	0.09859154929577464
Barwin	13	0.09154929577464789
FAD_binding_6	793	5.584507042253521
Thioesterase	253	1.7816901408450705
His_biosynth	197	1.3873239436619718
RdRP_2	1	0.007042253521126761
Glyco_transf_20	505	3.556338028169014
UDPG_MGDP_dh	263	1.852112676056338
MSA_2	1	0.007042253521126761
DNA_gyraseB_C	46	0.323943661971831
CPSase_sm_chain	194	1.3661971830985915
PAS	1663	11.711267605633802
GGDEF	38	0.2676056338028169
MoCF_biosynth	328	2.3098591549295775
Sec1	1013	7.133802816901408
GDI	499	3.5140845070422535
Na_H_Exchanger	1391	9.795774647887324
RNA_pol_A_bac	300	2.112676056338028
IRK	126	0.8873239436619719
IF-2B	590	4.154929577464789
