id	Group	Supergroup
FJ537347.1.1751_U|18S_rRNA|nucleus|clone_Biosope_T65.123|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Chrysophyceae_Clade-EC2H|Chrysophyceae_Clade-EC2H_X|Chrysophyceae_Clade-EC2H_XX|Chrysophyceae_Clade-EC2H_XX_sp.	Chrysophyceae	Stramenopiles
FR874729.1.1782_U|18S_rRNA|nucleus|clone_1815D10|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Chrysophyceae_Clade-EC2H|Chrysophyceae_Clade-EC2H_X|Chrysophyceae_Clade-EC2H_XX|Chrysophyceae_Clade-EC2H_XX_sp.	Chrysophyceae	Stramenopiles
KC582993.1.1780_U|18S_rRNA|nucleus|clone_RS.12f.10m.00112|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Chrysophyceae_Clade-EC2H|Chrysophyceae_Clade-EC2H_X|Chrysophyceae_Clade-EC2H_XX|Chrysophyceae_Clade-EC2H_XX_sp.	Chrysophyceae	Stramenopiles
DQ647519.1.1771_U|18S_rRNA|nucleus|clone_CD8.18|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Chrysophyceae_Clade-EC2H|Chrysophyceae_Clade-EC2H_X|Chrysophyceae_Clade-EC2H_XX|Chrysophyceae_Clade-EC2H_XX_sp.	Chrysophyceae	Stramenopiles
AY426840.1.1777_U|18S_rRNA|nucleus|clone_BL000921.17|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Chrysophyceae_Clade-EC2I|Chrysophyceae_Clade-EC2I_X|Chrysophyceae_Clade-EC2I_XX|Chrysophyceae_Clade-EC2I_XX_sp.	Chrysophyceae	Stramenopiles
EF165124.1.1786_U|18S_rRNA|nucleus|strain_AC24|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Ochromonadales|Ochromonadaceae|Melkoniana|Melkoniana_sp.	Chrysophyceae	Stramenopiles
EF027354.1.1791_U|18S_rRNA|nucleus|strain_GOT-220|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Ochromonadales|Ochromonadaceae|Spumella|Spumella_sp.	Chrysophyceae	Stramenopiles
KT905424.1.1786_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Ochromonadales|Ochromonadales_clade-V|Ochromonadales_clade-V_X|Ochromonadales_clade-V_X_sp.	Chrysophyceae	Stramenopiles
EF165142.1.1771_U|18S_rRNA|nucleus|strain_CCMP1393|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Ochromonadales|Ochromonadales_clade-VIII|Ochromonadales_clade-VIII_X|Ochromonadales_clade-VIII_X_sp.	Chrysophyceae	Stramenopiles
JQ967310.1.1679_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Paraphysomonadales|Paraphysomonadaceae|Paraphysomonas|Paraphysomonas_dimorpha	Chrysophyceae	Stramenopiles
AB749114.1.1716_U|18S_rRNA|nucleus|clone_Cn-St.1-65|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Paraphysomonadales|Paraphysomonadaceae|Paraphysomonas|Paraphysomonas_sp.	Chrysophyceae	Stramenopiles
DQ647511.1.1763_U|18S_rRNA|nucleus|clone_CD8.06|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Paraphysomonadales|Paraphysomonadales_Clade-EC1Ga|Paraphysomonadales_Clade-EC1Ga_X|Paraphysomonadales_Clade-EC1Ga_X_sp.	Chrysophyceae	Stramenopiles
FJ537322.1.1780_U|18S_rRNA|nucleus|clone_Biosope_T39.120|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Paraphysomonadales|Paraphysomonadales_Clade-EC1Ga|Paraphysomonadales_Clade-EC1Ga_X|Paraphysomonadales_Clade-EC1Ga_X_sp.	Chrysophyceae	Stramenopiles
JQ781947.1.1779_U|18S_rRNA|nucleus|clone_155S8Be866|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Paraphysomonadales|Paraphysomonadales_Clade-EC1Ga|Paraphysomonadales_Clade-EC1Ga_X|Paraphysomonadales_Clade-EC1Ga_X_sp.	Chrysophyceae	Stramenopiles
KC582996.1.1777_U|18S_rRNA|nucleus|clone_RS.12f.10m.00180|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Paraphysomonadales|Paraphysomonadales_Clade-EC1Ga|Paraphysomonadales_Clade-EC1Ga_X|Paraphysomonadales_Clade-EC1Ga_X_sp.	Chrysophyceae	Stramenopiles
KF129656.1.1743_U|18S_rRNA|nucleus|clone_ST3500.071|Eukaryota|TSAR|Stramenopiles|Gyrista|Chrysophyceae|Paraphysomonadales|Paraphysomonadales_Clade-EC1Ga|Paraphysomonadales_Clade-EC1Ga_X|Paraphysomonadales_Clade-EC1Ga_X_sp.	Chrysophyceae	Stramenopiles
U14385.1.1818_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Dictyochales|Dictyocha|Dictyocha_speculum	Dictyochophyceae	Stramenopiles
KC583002.1.1812_U|18S_rRNA|nucleus|clone_RS.12f.10m.237|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Dictyochophyceae_XX|Dictyochophyceae_XXX|Dictyochophyceae_XXX_sp.	Dictyochophyceae	Stramenopiles
KJ759221.1.1812_U|18S_rRNA|nucleus|clone_SGYU935|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Florenciellales|Florenciellales_X|Florenciellales_X_sp.	Dictyochophyceae	Stramenopiles
AB081517.1.1765_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Pedinellales|Pedinella|Pedinella_sp.	Dictyochophyceae	Stramenopiles
FR874720.1.1807_U|18S_rRNA|nucleus|clone_1815D01|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Pedinellales|Pedinellales_X|Pedinellales_X_sp.	Dictyochophyceae	Stramenopiles
KC582988.1.1798_U|18S_rRNA|nucleus|clone_RS.12f.10m.0039|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Pedinellales|Pedinellales_X|Pedinellales_X_sp.	Dictyochophyceae	Stramenopiles
KJ759450.1.1797_U|18S_rRNA|nucleus|clone_SGYO1491|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Pedinellales|Pedinellales_X|Pedinellales_X_sp.	Dictyochophyceae	Stramenopiles
EF527119.1.1787_U|18S_rRNA|nucleus|clone_SA2_1C5|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Pedinellales|Pedinellales_X|Pedinellales_X_sp.	Dictyochophyceae	Stramenopiles
JN680741.1.1801_U|18S_rRNA|nucleus|clone_73s|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Pedinellales|Pedinellales_X|Pedinellales_X_sp.	Dictyochophyceae	Stramenopiles
ON888438.1.1797_U|18S_rRNA|nucleus|clone_|Eukaryota|TSAR|Stramenopiles|Gyrista|Dictyochophyceae|Dictyochophyceae_X|Pedinellales|Pteridomonas|Pteridomonas_sp.	Dictyochophyceae	Stramenopiles
AB191422.1.1644_U|18S_rRNA|nucleus|clone_TAGIRI-14|Eukaryota|TSAR|Stramenopiles|Gyrista|Gyrista_X|Gyrista_XX|MAST-1|MAST-1C|MAST-1C_sp.	MAST-1C	Stramenopiles
JQ782004.1.1784_U|18S_rRNA|nucleus|clone_155D3Be4vg|Eukaryota|TSAR|Stramenopiles|Gyrista|Gyrista_X|Gyrista_XX|MAST-1|MAST-1C|MAST-1C_sp.	MAST-1C	Stramenopiles
